Designator,Footprint,Quantity,Value,LCSC Part #
BT2,JST PH 2 Horizontal,1,3.7V,C295747
"C1, C22, C24",0402,3,10nF,C3834692
"C10, C8",0402,2,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C31, C33, C5, C6, C67, C7, C9",0402,14,100nF,C307331
"C18, C21, C25, C28",0402,4,24pF,C1864480
"C19, C20, C26, C27",0402,4,43pF,C415393
"C2, C3",0402,2,15pF,C1548
"C23, C4, C68",0402,3,100pF,C1546
"C29, C30, C32, C40, C58",0603,5,10uF,C96446
D1,DFN0603-2L,1,H5VU06B,C20615780
"D2, D4, D5",LED 1206 Side View,3,LED,C375479
D3,D_SOD-323,1,1N4148WS,C2128
"FB1, FB2, FB3",0402,3,600,C76886
J4,SMA_Samtec_SMA-J-P-H-ST-EM1_EdgeMount,1,Conn_Coaxial_Small,C5301850
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB-TYPE-C-018 (DEALON),C2927038
"L1, L3, L4, L6",0402,4,68nH,C7427064
"L2, L5",0402,2,75nH,
L7,0402,1,270nH,C22400372
Q1,SOT-23,1,AO3407A,C7436553
R1,0402,1,100KR,C25741
"R10, R9",0402,2,2.2KR,C25879
"R12, R40",0402,2,120R,C25079
"R13, R14, R39",0402,3,294R,C852689
R15,0402,1,17.4R,C284383
"R2, R37, R38, R8",0402,4,10KR,C25744
"R27, R28",0402,2,5.11KR,C5126228
"R3, R4",0402,2,33R,C25105
"R36, R5, R6, R7",0402,4,1KR,C11702
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,~,C720477
SW3,SW_Slide_SPDT_Angled_CK_OS102011MA1Q,1,SK-12D15-G030,C7544904
U1,QFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,BVA1761,C38240054
U15,SOT-23-6,1,USBLC6-2SC6,C5180249
U16,SOT95P280X145-6N,1,BQ21040DBVR,C202311
U19,SOT-23-5,1,ME6217C33M5G,C427602
U2,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,RP2040-QFN-56,1,RP2040,C2040
U4,MSOP-10_3x3mm_P0.5mm,1,Si5351A-B-GT,C504891
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,C20625731
Y2,TG2016SMN250000MMCGNNM0,1,TG2016SMN_25.0000M-MCGNNM0,C20340789
